number,location,WaffelPackno,WaffelPackrow,WaffelPackcol,WaferID,Waferrow,Wafercol,BINcode
35494_046_PSP_MAINL,1,14,1,1,N6Y21502D1,-4,10,49
,2,15,3,6,N6Y21502D1,-6,0,49
,3,15,3,5,N6Y21502D1,-5,0,49
,4,15,3,4,N6Y21502D1,-5,2,49
,5,15,3,3,N6Y21502D1,-5,3,49
,6,15,3,2,N6Y21502D1,-5,4,49
,7,15,3,1,N6Y21502D1,-5,5,49
,8,15,2,6,N6Y21502D1,-5,11,49
,9,15,2,5,N6Y21502D1,-5,10,49
,10,15,2,4,N6Y21502D1,-5,9,49
,11,15,2,3,N6Y21502D1,-5,8,49
,12,15,2,2,N6Y21502D1,-5,7,49
,13,15,2,1,N6Y21502D1,-5,6,49
,14,15,1,6,N6Y21502D1,-5,12,49
,15,15,1,5,N6Y21502D1,-5,13,49
,16,15,1,4,N6Y21502D1,-5,14,49
