number,location,WaffelPackno,WaffelPackrow,WaffelPackcol,WaferID,Waferrow,Wafercol,BINcode
35494_038_PSP_MAINL,1,7,2,1,N6Y21501D6,-7,19,49
,2,7,1,6,N6Y21501D6,-6,18,49
,3,7,1,5,N6Y21501D6,-6,17,49
,4,7,1,4,N6Y21501D6,-6,16,49
,5,7,1,3,N6Y21501D6,-6,15,49
,6,7,1,2,N6Y21501D6,-6,14,49
,7,7,1,1,N6Y21501D6,-6,13,49
,8,8,3,6,N6Y21501D6,-8,8,49
,9,8,3,5,N6Y21501D6,-8,7,49
,10,8,3,4,N6Y21501D6,-8,6,49
,11,8,3,3,N6Y21501D6,-8,5,49
,12,8,3,2,N6Y21501D6,-8,4,49
,13,8,3,1,N6Y21501D6,-8,3,49
,14,8,2,6,N6Y21501D6,-7,6,49
,15,8,2,5,N6Y21501D6,-7,5,49
,16,8,2,4,N6Y21501D6,-7,4,49
