センサNo.,Location No.,Waffelpack Number,Waffelpack Row,Waffelpack Column,Wafer-ID,Wafer Row,Wafer Column,Bincode
,10,10,1,3,N6Y21501D6,-9,7,49
,11,10,1,2,N6Y21501D6,-9,8,49
,12,10,1,1,N6Y21501D6,-9,9,49
,13,11,3,6,N6Y21502D1,-2,13,49
,14,11,3,5,N6Y21502D1,-2,12,49
,15,11,3,4,N6Y21502D1,-2,11,49
,16,11,3,3,N6Y21502D1,-2,10,49
35494_042_PSP_MAINL,1,11,3,2,N6Y21502D1,-2,9,49
,2,11,3,1,N6Y21502D1,-2,8,49
,3,11,2,6,N6Y21502D1,-2,2,49
,4,11,2,5,N6Y21502D1,-2,3,49
,5,11,2,4,N6Y21502D1,-2,4,49
,6,11,2,3,N6Y21502D1,-2,5,49
,7,11,2,2,N6Y21502D1,-2,6,49
,8,11,1,6,N6Y21502D1,-1,4,49
,9,11,1,5,N6Y21502D1,-1,5,49
,10,11,1,4,N6Y21502D1,-1,6,49
,11,11,1,3,N6Y21502D1,-1,7,49
,12,11,1,2,N6Y21502D1,-1,8,49
,13,11,1,1,N6Y21502D1,-1,9,49
,14,13,3,6,N6Y21502D1,-4,9,49
,15,13,3,5,N6Y21502D1,-4,8,49
,16,13,3,4,N6Y21502D1,-4,7,49
35494_043_PSP_MAINL,1,13,3,3,N6Y21502D1,-4,6,49
,2,13,3,2,N6Y21502D1,-4,5,49
,3,13,3,1,N6Y21502D1,-4,4,49
,4,13,2,6,N6Y21502D1,-3,2,49
,5,13,2,5,N6Y21502D1,-3,1,49
,6,13,2,4,N6Y21502D1,-4,0,49
,7,13,2,3,N6Y21502D1,-4,1,49
,8,13,2,2,N6Y21502D1,-4,2,49
,9,13,2,1,N6Y21502D1,-4,3,49
,10,13,1,6,N6Y21502D1,-3,3,49
,11,13,1,5,N6Y21502D1,-3,4,49
,12,13,1,4,N6Y21502D1,-3,5,49
,13,13,1,3,N6Y21502D1,-3,6,49
,14,13,1,2,N6Y21502D1,-3,7,49
,15,13,1,1,N6Y21502D1,-3,8,49
,16,14,3,6,N6Y21502D1,-5,18,49
35494_044_PSP_MAINL,1,14,3,5,N6Y21502D1,-5,19,49
,2,14,3,4,N6Y21502D1,-5,20,49
,3,14,3,3,N6Y21502D1,-5,21,49
,4,14,3,2,N6Y21502D1,-5,22,49
,5,14,3,1,N6Y21502D1,-4,22,49
,6,14,2,6,N6Y21502D1,-4,16,49
,7,14,2,5,N6Y21502D1,-4,17,49
,8,14,2,4,N6Y21502D1,-4,18,49
,9,14,2,3,N6Y21502D1,-4,19,49
,10,14,2,2,N6Y21502D1,-4,20,49
,11,14,2,1,N6Y21502D1,-4,21,49
,12,14,1,6,N6Y21502D1,-4,15,49
,13,14,1,5,N6Y21502D1,-4,14,49
,14,14,1,4,N6Y21502D1,-4,13,49
,15,14,1,3,N6Y21502D1,-4,12,49
,16,14,1,2,N6Y21502D1,-4,11,49
35494_046_PSP_MAINL,1,14,1,1,N6Y21502D1,-4,10,49
,2,15,3,6,N6Y21502D1,-6,0,49
,3,15,3,5,N6Y21502D1,-5,0,49
,4,15,3,4,N6Y21502D1,-5,2,49
,5,15,3,3,N6Y21502D1,-5,3,49
,6,15,3,2,N6Y21502D1,-5,4,49
,7,15,3,1,N6Y21502D1,-5,5,49
,8,15,2,6,N6Y21502D1,-5,11,49
,9,15,2,5,N6Y21502D1,-5,10,49
,10,15,2,4,N6Y21502D1,-5,9,49
,11,15,2,3,N6Y21502D1,-5,8,49
,12,15,2,2,N6Y21502D1,-5,7,49
,13,15,2,1,N6Y21502D1,-5,6,49
,14,15,1,6,N6Y21502D1,-5,12,49
,15,15,1,5,N6Y21502D1,-5,13,49
,16,15,1,4,N6Y21502D1,-5,14,49
35494_047_PSP_MAINL,1,15,1,3,N6Y21502D1,-5,15,49
,2,15,1,2,N6Y21502D1,-5,16,49
,3,15,1,1,N6Y21502D1,-5,17,49
,4,16,3,6,N6Y21502D1,-6,19,49
,5,16,3,5,N6Y21502D1,-6,18,49
,6,16,3,4,N6Y21502D1,-6,17,49
,7,16,3,3,N6Y21502D1,-6,16,49
,8,16,3,2,N6Y21502D1,-6,15,49
,9,16,3,1,N6Y21502D1,-6,14,49
,10,16,2,6,N6Y21502D1,-6,7,49
,11,16,2,5,N6Y21502D1,-6,8,49
,12,16,2,4,N6Y21502D1,-6,9,49
,13,16,2,3,N6Y21502D1,-6,11,49
,14,16,2,2,N6Y21502D1,-6,12,49
,15,16,2,1,N6Y21502D1,-6,13,49
,16,16,1,6,N6Y21502D1,-6,6,49
35494_048_PSP_MAINL,1,16,1,5,N6Y21502D1,-6,5,49
,2,16,1,4,N6Y21502D1,-6,4,49
,3,16,1,3,N6Y21502D1,-6,3,49
,4,16,1,2,N6Y21502D1,-6,2,49
,5,16,1,1,N6Y21502D1,-6,1,49
,6,17,3,6,N6Y21502D1,-7,7,49
,7,17,3,5,N6Y21502D1,-7,8,49
,8,17,3,4,N6Y21502D1,-7,9,49
,9,17,3,3,N6Y21502D1,-7,10,49
,10,17,3,2,N6Y21502D1,-7,11,49
,11,17,3,1,N6Y21502D1,-7,12,49
,12,17,2,6,N6Y21502D1,-7,18,49
,13,17,2,5,N6Y21502D1,-7,17,49
,14,17,2,4,N6Y21502D1,-7,16,49
,15,17,2,3,N6Y21502D1,-7,15,49
,16,17,2,2,N6Y21502D1,-7,14,49
